chemical,crop,epa_registration,active_ingredients,frac_code,irac_code,phi_days,rei_hours,application_uom,maximum_quantity_per_acre,label_date,effective_date,expiration_date,dup_seq,dup_copies,is_redundant_copy,times_sprayed,last_sprayed,usage_bucket,compliance_id
Radiant SC,Lettuce,62719-545,,,,1,4,FLOZ,25.0,2024-03-25,2024-03-25,,1,2,False,11,2026-07-18,used last 12mo,c1478c00-8c9d-4779-9540-3e836dc8fb2b
Radiant SC,Lettuce,62719-545,,,,1,4,FLOZ,25.0,2024-03-25,2024-03-25,,2,2,True,11,2026-07-18,used last 12mo,bf87018c-75c5-4418-9d19-2fd42d81a2d5
Rally 40 WSP,Cuke,LEGACY_UNKNOWN,,,,0,24,OZ,5.0,2026-07-12,2026-07-12,,1,1,False,1,2024-04-22,dormant 12mo+,c5f5fe7b-0047-48bb-bb1f-6fa9b3d088d9
Rally 40Wsp (Mycoinsecticide),Cuke,62719-410,,,,0,24,OZ,5.0,2026-07-12,2026-07-12,,1,1,False,0,,never used,6e08c032-94c5-43cf-b1e8-bfa05750f071
Rally 40Wsp (Mycoinsecticide) (2),Lettuce,62719-410,,,,0,24,OZ,12.5,2026-07-12,2026-07-12,,1,1,False,0,,never used,43f1049c-ad7d-4104-b903-2f934472a678
Regalia Biofungicide,Cuke,84059-3,,,,0,4,GAL,1.9,2026-07-12,2026-07-12,,1,1,False,1,2024-10-16,dormant 12mo+,7ea3236b-81d1-42d0-9a48-2800b6c18cee
Regalia Biofungicide (2),Lettuce,84059-3,,,,0,4,GAL,4.75,2026-07-12,2026-07-12,,1,1,False,0,,never used,1770b9a4-8d9f-4517-9d87-7d4e9a482256
Serenade Soil,Cuke,264-1152,,,,0,4,FLOZ,3.5,2026-07-12,2026-07-12,,1,1,False,0,,never used,028344b5-82c4-4a80-a685-1a5a3ed673a6
Serenade Soil (2),Lettuce,264-1152,,,,0,4,FLOZ,8.75,2026-07-12,2026-07-12,,1,1,False,0,,never used,28b663fc-dee8-437d-99d2-bf66a5d20f27
Sovran,Cuke,7969-154,,,,0,12,OZ,4.8,2026-07-12,2026-07-12,,1,1,False,0,,never used,21798528-fcf0-4943-983d-5e197b5442f4
Sovran (2),Lettuce,7969-154,,,,0,12,OZ,12.0,2026-07-12,2026-07-12,,1,1,False,0,,never used,68e65cbd-12d0-402f-9897-b898408662d3
Torac,Cuke,71711-31,,,,1,12,FLOZ,21.0,2022-07-07,2022-07-07,,1,2,False,116,2026-07-17,used last 12mo,2a39ebed-da65-4d0b-bb92-75e900bd409d
Torac,Cuke,71711-31,,,,1,12,FLOZ,21.0,2022-07-07,2022-07-07,,2,2,True,116,2026-07-17,used last 12mo,c4d613b1-fb26-418e-9814-4921eb70dabc
Torac,Lettuce,71711-31,,,,1,12,FLOZ,21.0,2022-07-07,2022-07-07,,1,2,False,116,2026-07-17,used last 12mo,39247baa-4921-41ce-b397-1a9cc779c798
Torac,Lettuce,71711-31,,,,1,12,FLOZ,21.0,2022-07-07,2022-07-07,,2,2,True,116,2026-07-17,used last 12mo,ef3a75f8-8f84-4e65-963f-eefa2c16b076
Torino,Cuke,8033-103-10163,,,,0,4,FLOZ,3.4,2018-10-01,2018-10-01,,1,2,False,70,2026-05-15,used last 12mo,3f8ac631-952b-4754-a749-f429a1f1a0d1
Torino,Cuke,8033-103-10163,,,,0,4,FLOZ,3.4,2018-10-01,2018-10-01,,2,2,True,70,2026-05-15,used last 12mo,412e2cc3-eb36-480d-8a9a-c47b2a074948
Triathlon BA,Cuke,70051-107-59807,,,,0,4,QT,6.0,2019-03-14,2019-03-14,,1,1,False,1,2025-12-29,used last 12mo,381bac3c-0524-4b42-b296-8cc60fc732c4
Triathlon BA,Lettuce,70051-107-59807,,,,0,4,FLOZ,15.0,2019-03-14,2019-03-14,,1,1,False,1,2025-12-29,used last 12mo,53ff2106-21d6-49b7-b188-a019bfe3e880
Triathlon BA,Lettuce,70051-107-59807,,,,0,4,QT,15.0,2019-03-14,2019-03-14,,1,1,False,1,2025-12-29,used last 12mo,b619740a-4d66-4ed4-b9d8-736770bb542a
